,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
日期,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-25,2016-01-27
開盤價,28.06,27.44,27.04,26.5,26.61,26.66,26.85,26.4,26.34,26.92,26.6,26.31,28.96,27.0,27.0
最高價,28.06,27.44,27.04,26.76,26.61,26.69,26.96,26.4,26.79,26.92,26.6,26.33,28.96,27.04,27.0
最低價,27.82,27.3,26.93,26.5,26.46,26.43,26.78,26.4,26.34,26.92,26.58,26.31,26.35,26.97,27.0
收盤價,27.83,27.32,26.93,26.76,26.46,26.47,26.78,26.4,26.74,26.92,26.58,26.33,26.43,27.04,27.0
成交張數比例,0.004546265,0.000802282,0.000179176,0.000178285,0.0006239969999999999,0.054198609,0.015778214,8.91424e-05,0.053396327,8.91424e-05,0.000178285,0.0010697089999999999,0.017917632,0.00035657,8.91424e-05
VIX Open,20.75,21.67,23.219998999999998,22.959999,25.58,22.969998999999998,21.719998999999998,24.75,24.75,25.4,27.780001000000002,27.790001,24.209999,23.299999,22.879998999999998
VIX High,21.059998999999998,21.860001,25.860001,27.08,27.389999,23.93,26.110001,26.280001000000002,26.280001000000002,27.59,32.09,28.43,24.549999,24.309998999999998,27.219998999999998
VIX low,19.25,19.799999,22.4,22.48,23.83,21.91,21.440001000000002,23.07,23.07,25.209999,26.59,25.01,22.219998999999998,22.379998999999998,20.42
VIX Close,19.34,20.59,24.99,27.01,24.299999,22.469998999999998,25.219998999999998,23.950001,23.950001,26.049999,27.59,26.690001000000002,22.34,24.15,23.110001
VIX Adj Close,19.34,20.59,24.99,27.01,24.299999,22.469998999999998,25.219998999999998,23.950001,23.950001,26.049999,27.59,26.690001000000002,22.34,24.15,23.110001
VIX Volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民間消費 原始值,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0,2237422.0
民間消費 年增率(%),3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
政府消費 原始值,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0,671308.0
政府消費 年增率(%),7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11
資本形成 原始值,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0,885216.0
資本形成 年增率(%),-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59
商品及服務輸出 原始值,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0,2766607.0
商品及服務輸出 年增率(%),-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18,-7.18
商品及服務輸入 原始值,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0,2242300.0
商品及服務輸入 年增率(%),-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22
國內需求 原始值,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0,3793946.0
國內需求 年增率(%),3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14
國外淨需求 原始值,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0,524307.0
GDP 原始值,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0,4318253.0
GDP 年增率(%),2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43
國外要素所得淨額 原始值,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0,197836.0
GNI 原始值,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0,4516089.0
GNI 增長率,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
CPI 原始值,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12
CPI 年增率(%),0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
景氣對策信號(分),14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
期中人口(人) 原始值,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0,23494444.0
期中人口(人) 增長率(%),0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
經濟成長率 (%),-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
平均每人GDP(名目值，元) 原始值,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0,183756.0
平均每人GDP(名目值，元) 增長率(%),2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
平均每人GNI(名目值，元) 原始值,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0,192174.0
平均每人GNI(名目值，元) 增長率(%),2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05
國民所得(名目值，百萬元) 原始值,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0,3826530.0
國民所得(名目值，百萬元) 增長率 (%),0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
平均每人所得(名目值，元) 原始值,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0,162832.0
平均每人所得(名目值，元) 增長率(%),0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
外商銀行放款利率,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
外資及陸資 多方交易口數,,,,,,,,,,,,,,,
外資及陸資 多方交易契約金額(百萬元),,,,,,,,,,,,,,,
外資及陸資 空方交易口數,,,,,,,,,,,,,,,
外資及陸資 空方交易契約金額(百萬元),,,,,,,,,,,,,,,
外資及陸資 多空交易口數淨額,,,,,,,,,,,,,,,
外資及陸資 多空交易契約金額淨額(百萬元),,,,,,,,,,,,,,,
外資及陸資 多方未平倉口數,,,,,,,,,,,,,,,
外資及陸資 多方未平倉契約金額(百萬元),,,,,,,,,,,,,,,
外資及陸資 空方未平倉口數,,,,,,,,,,,,,,,
外資及陸資 空方未平倉契約金額(百萬元),,,,,,,,,,,,,,,
外資及陸資 多空未平倉口數淨額,,,,,,,,,,,,,,,
外資及陸資 多空未平倉契約金額淨額(百萬元),,,,,,,,,,,,,,,
賣權成交量,,,,,,,,,718937.0,430764.0,629560.0,381942.0,371726.0,380043.0,398778.0
買權成交量,,,,,,,,,630125.0,412227.0,749920.0,324527.0,319516.0,322589.0,402547.0
買賣權成交量比率%,,,,,,,,,114.09,104.5,83.95,117.69,116.34,117.81,99.06
賣權未平倉量,,,,,,,,,566230.0,607225.0,238257.0,332787.0,411005.0,468475.0,337373.0
買權未平倉量,,,,,,,,,641884.0,651094.0,254162.0,334500.0,371470.0,385387.0,314890.0
買賣權未平倉量比率%,,,,,,,,,88.21,93.26,93.74,99.49,110.64,121.56,107.14
發行股數,"12,218,000","12,218,000","12,218,000","12,218,000","12,218,000","12,218,000","12,218,000","9,718,000","9,718,000","9,718,000","9,718,000","9,718,000","9,218,000","9,218,000","9,218,000"
外資及陸資尚可投資股數,"4,235,000","4,235,000","4,235,000","4,235,000","4,235,000","3,628,000","3,459,000","1,959,000","1,467,000","1,467,000","1,467,000","1,467,000","1,307,000","1,304,000","1,304,000"
全體外資及陸資持有股數,"7,983,000","7,983,000","7,983,000","7,983,000","7,983,000","8,590,000","8,759,000","7,759,000","8,251,000","8,251,000","8,251,000","8,251,000","7,911,000","7,914,000","7,914,000"
外資及陸資尚可投資比率,34.66,34.66,34.66,34.66,34.66,29.69,28.31,20.15,15.09,15.09,15.09,15.09,14.17,14.14,14.14
全體外資及陸資持股比率,65.33,65.33,65.33,65.33,65.33,70.3,71.68,79.84,84.9,84.9,84.9,84.9,85.82,85.85,85.85
外資及陸資共用法令投資上限比率,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
陸資法令投資上限比率,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
